Surface_Area,Depth,Breadth,Condition,Maintenance_Suggestions,Maintenance_Frequency,Prev_Maintenance_Cost,Auction_Price
246.54747699234824,13.981480348273635,75.89216998737639,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),327506.04526067135,105438.12537851879
373.12661913508725,41.94602244538358,89.84439407069519,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),104407.12157286154,543447.042164648
285.50374450904945,31.183809455735293,21.800307752252223,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),249389.73844887677,82605.72645212687
27.33155782545738,48.45088488216929,76.05640169085366,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),428118.1990608138,34816.751705819755
262.72949052073886,25.25020606162751,99.30872298063409,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),419005.2901218361,221496.46970639343
418.98222326478077,31.51259471012561,18.749209800890526,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),213817.38910100522,101938.04693275949
63.50984738459315,36.35669946438496,83.60504614455202,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),439941.3819952579,59722.44184216039
164.56744148410394,37.97275000828888,67.91911820683981,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),59278.79283895227,160953.31058614436
252.76272904245536,45.862773354842076,67.37171813321942,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),182232.12258834895,324559.20070243033
380.3135987282902,10.804963174010211,97.155732247249,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),332786.14268398605,146591.51384237641
165.43927059104163,12.503822833640792,80.25278155350705,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),207161.63386549125,70718.86062454118
228.4488885623379,42.96049741342491,58.64413808322903,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),291197.89510181674,212910.57703855186
267.91562782497186,43.478684366831835,4.822139970953522,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),123864.59537344813,14960.169881648373
423.2446357132266,41.51008562035961,81.04048709112452,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),441130.01191188523,560408.3568847611
294.14098704952534,34.97327173736657,29.283198781315384,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),123970.7942054298,113976.70171212294
63.7012502095823,37.57001358287257,58.80474643326161,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),311650.43919597066,50036.81915019351
63.24222935173342,10.305297486084678,82.82341048230838,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),117289.64850394297,29148.875497872006
114.57149652555609,45.486739161724415,14.669447418462777,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),402393.09042651433,22080.662635225177
342.73650453186156,27.535650898533525,63.30291355637923,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),161954.57332010532,253780.66398585646
437.73863696407244,41.87916606001249,45.075182035145176,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),114002.37051947298,364129.79100548435
366.52576018359025,17.039615626211777,80.60310167434082,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),440298.7678926976,217572.0717953827
148.59486089156928,22.887346066112137,90.72341347221274,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),453250.68867358146,107080.4723199294
448.57115291489526,26.7902430047927,76.39289765028249,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),270422.03544171446,357330.19984466705
452.6036390768118,6.233012020953437,84.07142996992643,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),173647.64317433804,88815.98943208443
159.5132241082348,47.01859429898171,6.206452784170575,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),359465.0749879332,28518.433527942558
272.95868423080384,21.739968245715854,99.16872143598907,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),394491.35486557044,247447.96405206554
436.3971998356437,14.12106370823786,53.35629918851513,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),336547.5316444207,137167.0176974164
431.82228824729054,36.33465641598433,9.343437060990667,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),480291.9572997291,62755.5459309193
302.7197801837192,40.087820287386435,95.73792515136643,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),293332.39977268246,510127.1251633337
283.51911910957966,15.424187280163686,82.45529368292556,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),106697.41841668013,121600.81916151982
416.9302360550891,48.01510424269028,13.86628102100166,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),76704.40493685013,121520.39512348705
187.12984864287372,47.91735289554919,25.539759782623477,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),139977.40452870663,93031.32499180816
116.9267546482627,44.26613802086503,32.75104449116212,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),194264.39623996464,74029.94859563201
283.30397053139137,39.77300710770899,86.13199949961174,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),333742.3820344609,420982.98454099
313.9535333626747,46.366409536653194,75.6359036202836,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),292169.26969219523,405344.0638678785
456.8555990647074,7.273156956961051,42.78803641456453,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),331162.0640519785,49209.15319696692
394.1497371583764,27.513304347677654,46.89953444820302,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),453239.1701152858,188348.20801361086
348.99143439023675,23.380709369540984,67.8930522656182,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),242970.25488471927,207029.34326432802
246.69761118101232,35.69215304584239,43.52770905166652,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),213209.11744156398,154421.4137440525
429.3422358054651,29.286930947041164,91.78791830956786,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),302136.02190473094,491631.3273061078
62.52940127771615,39.36126029543038,60.6461788375088,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),446183.0508519509,50967.4849563786
170.63129003011244,9.01372620715744,13.284474993771962,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),459384.751170203,2354.070532270164
315.36681674024527,47.676428331625864,14.64752129180751,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),266465.18324860034,83403.46194717172
399.3768683583991,45.28096663764742,70.82546758584684,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),415363.9166189757,444434.6914393212
213.21433056385422,46.01238975507129,79.58586660314717,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),97535.94224504205,278990.45516935666
428.6880169863255,47.985247228791366,69.06777030122544,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),317403.1036154883,631989.771524682
459.9285536530414,37.66982508815523,64.71905394559484,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),362061.843406281,390589.76972544595
359.816450504628,30.335197957237593,45.840895890986225,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),353281.17116305575,184260.33488686374
476.01297128883584,22.479280960547843,91.10656205710954,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),326313.8931214794,394285.99265147117
241.65915729796237,23.73461411635564,84.04225127845154,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),323122.0180952367,156689.18256662617
60.79550832378312,37.66802608676309,36.89828943410231,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),219612.09128317158,23926.486070983465
8.819100772967175,14.547345974009296,70.40173783381323,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),353819.35010951356,5771.452395670334
424.107676293042,42.902291201021356,16.255264906864486,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),386237.78284299176,105943.12639380178
159.50517077403455,48.20154644180468,17.297789714182176,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),278968.4265814299,57409.70332204543
407.42304218263223,38.432614192482916,40.22823485073712,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),63534.66561889474,233553.758028179
341.0065205267575,17.32003100136416,63.14751944132549,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),316302.1801593163,158572.14811021852
270.0401563351159,19.73933048113981,98.90291051893523,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),374429.22195736726,189112.3570901358
353.2483069808672,12.841476248347663,95.82684639155148,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),275940.4393558708,151408.19329637007
264.0084929127778,21.107267484879742,57.94953848371187,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),342758.476627815,116419.74512834103
40.084304476610534,25.72738678798233,50.32479949497878,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),81236.65820912355,19813.98280008635
136.3308531350926,38.87997240189009,83.90738094716711,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),468918.11794520344,171827.59912045914
223.93222085025204,38.40546824478243,38.62427312176684,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),367792.0983582666,146353.27425690714
355.93311255802087,16.666272383747764,30.53200394005323,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),388685.25077115034,53166.28408969776
456.14557887262794,42.55551364693397,49.039292776754976,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),150646.90679422588,391242.038801649
374.54888363026186,40.721744863670764,59.54138758745874,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),170795.18794052253,327409.7795507762
39.32128737994896,39.79870530486929,14.21959921191749,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),315899.62023315585,266.36756271900504
158.00561294024618,46.30341658311553,64.99168111964568,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),179560.88439251808,177666.35512193272
161.8825969928007,18.06007208289697,43.45571338201839,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),389881.5966405215,52059.291983617906
306.52188141903497,30.945762856790193,89.95285303308113,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),472140.404240304,307952.8120764016
74.6969802064833,8.741780828401005,37.40108708732364,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),390063.78513539245,5440.769107721541
463.52206094360037,10.47429827794302,18.861546217522903,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),236705.56886530208,29706.912410139674
230.46787368349146,26.04030153009371,7.958644130018108,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),171005.24561805205,14647.795080261742
265.94923069243896,34.559621402010734,51.3916888624548,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),151188.56764298465,183835.641726299
81.67604398504716,47.94863354713626,45.04834993548723,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),194840.9156895756,65585.67673746755
159.66627282450872,35.05063305262766,86.28179055517758,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),53370.372934188825,208455.58463621163
95.13784940528267,43.491029763689006,21.935536508358926,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),115958.91698158796,44291.7766561661
245.43977896634965,42.18195929337042,72.21076006147368,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),53888.1819597655,308550.36738982814
128.43021133347668,20.839695769865877,21.731078130595574,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),256581.820189793,24625.030269691735
64.6391998946477,47.12789290344783,65.19186804177316,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),103111.25773941903,86781.85436186835
425.46801829605215,17.726765714882575,35.21677806608216,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),236799.2203339202,97578.51107765462
324.96118444707366,43.54714764311224,95.68992904482586,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),76938.78529479635,561671.9975770054
326.09631567831326,45.46607142977147,90.72491254954224,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),416000.75570879213,541821.2214650639
132.92810357296486,39.49309028260772,45.55079312507015,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),52945.742853816366,89459.18589487995
479.470959321685,26.754046482256424,14.125530456228086,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),341955.73948550783,80269.51524863575
349.3835999269698,25.14497915521876,32.621737066845085,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),362262.25147279265,111002.20707541323
369.9457516761231,17.999565405411577,41.25581901498483,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),454403.4163503174,103209.06278651115
307.4930892307533,15.774234972557931,21.75261605270438,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),52162.80197703811,51974.89449903196
393.0737159982782,23.328185844196224,49.25323599013256,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),213785.80109431254,176678.76453627576
73.88026765335164,29.2224138751366,60.37700847750012,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),457353.024701823,37476.885990275325
306.2203714644191,16.99279420882781,4.3613657997601365,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),56331.543085165,15153.955651328264
211.3932022190463,33.900524785990974,96.9347814692189,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),357266.0150888435,299691.26954234805
393.5932972164781,6.4494879868339465,94.33454043151481,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),152707.15421713993,98348.12315793728
135.29718283277643,48.87535184902016,85.22066121024491,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),136596.1484033867,224147.94362529696
72.20359450529764,11.180466032089004,8.418252874211053,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),238989.56822235018,-1445.5186175323083
185.96008569283464,9.392377869429817,13.051675789965628,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),162435.20544734265,11695.641982116755
25.310513440953056,22.76532442428613,51.599110952720814,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),83191.79425976712,13404.783698401208
22.287367939936015,23.85894126385505,16.75794897138403,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),271652.23116797925,-366.50338455546625
418.03981857476674,10.017670039801352,48.510978909729005,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),453316.5758745731,76519.72176817624
28.641956737827865,29.317677025478048,73.27534724896697,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),226023.72725811112,26925.613986224213
47.10928863676365,19.283233133651173,5.935659148380468,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),184151.68992957257,191.84945494751128
60.68563561802186,39.86927174290985,58.21201701416926,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),209346.94953379894,51587.19319417974
17.833343477888505,6.721846578762551,25.990245402206273,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),227274.50326013166,-5164.582436239109
184.6821730957152,24.840011689758096,71.26345766178672,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),337278.65842214995,113958.25709921622
293.8230049907961,35.712007482989065,88.38466940807102,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),344391.5612144663,407218.03445693094
138.79725070202454,42.006523904323075,59.58544743722252,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),482668.05722783174,119865.80634903115
484.1081975382587,31.255574169216857,83.42882172106387,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),223162.5644174635,507954.4448235607
337.15992693649537,5.063645477865096,9.84064828047434,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),259565.10533648892,-1608.148397715554
31.436096083089122,22.584743905249073,14.952042611601955,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),51219.315598362686,4903.749828516855
306.0086003058683,43.344840200078096,38.90205788285733,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),233867.7442829688,167596.17299398046
265.49250583914164,20.32850620446904,50.50875570138651,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),338351.8449926596,109732.59159838886
362.70774855581055,33.48180126732625,90.75103743688331,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),146428.81930729962,447543.15306498
374.64963611219036,5.9783562745780365,40.28366542087449,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),430965.6186306889,36122.33601900445
471.26555475887056,14.848448666238504,42.33370890632561,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),110909.7877402896,129812.53073367722
477.0109824959128,11.039579175215467,55.06110564913692,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),168795.06716921786,94092.53650883905
214.6127338654412,13.642770314956698,72.73907145407514,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),418432.7464363878,92968.79284753378
419.5787497604781,15.578030178168383,29.826501848747316,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),346002.475537882,78806.0546733513
468.7787539854044,44.74408901388304,5.535999199998835,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),269156.2453716467,30563.687778408203
406.2115807508855,43.69196759660142,95.04105553312765,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),368972.3704392227,669087.4130604963
64.98468392608035,40.105310939490934,26.129707953541605,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),65535.48790037301,30389.370948036387
176.8796826343412,37.67556165284694,90.15737227605221,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),212706.76073091294,245600.65858805962
2.4118896057100456,30.70216145827085,50.48588330592423,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),146605.35807944438,267.61984237536626
65.85690801026948,14.422804146481843,11.912071952293859,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),204218.08887307157,6556.760146857595
61.75617553780018,29.173665274548444,98.9609398649832,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),321207.6305650333,83494.28999317918
441.34135331600424,37.86456742197935,85.97941062408412,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),463072.72770044726,647744.3612452332
63.751580866930325,9.710669694247887,68.42372444894835,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),63832.74585136611,11129.187107673679
396.54289262905365,41.0663251367515,63.84625088926037,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),178653.3044636902,448739.95261166815
298.258493388381,46.07025672226113,34.40028271280758,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),145005.56185263797,156402.84432560668
314.5165986623181,18.122386769648166,47.213331224353695,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),158018.23851124017,96494.04354329407
88.02363180921024,29.401102163578155,60.96380619101268,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),92926.58343952164,73522.8141406019
27.671474964141996,15.051871166343883,88.11226719300377,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),138584.14866855447,21057.74091446433
259.32124469171686,32.56664968998825,34.44827867588313,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),423787.6333751233,108963.52949947622
1.5560714286590773,19.128033612837502,60.113066881108594,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),171169.3460349159,-6003.813689350577
335.2745176524252,8.4271334701024,5.722453249262215,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),122732.76636288452,11426.464163336337
22.105037574269545,37.20427131694695,27.19206458212105,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),417723.4778352183,12074.03494935909
405.8682948397004,9.446834154221666,63.28923833242319,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),453671.3588819842,92073.32186233747
140.1560689236518,26.0541758888676,7.5420155724595475,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),343988.75817333156,12642.53417311268
183.96886930868374,14.922190579807443,94.51628069183556,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),479056.05574738723,97305.30102960292
245.37948048056373,15.34879752141341,73.31970028581914,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),211815.44167333853,99169.23698425677
198.81440048856848,26.02564041782643,36.646105238413504,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),76146.780299781,83882.48049627834
48.09004890837794,20.802963710421636,46.676602186682324,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),385761.2585572726,15160.7501955786
415.78871592248163,25.87900464610967,56.89256382782231,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),298972.1068024255,227272.87480921013
130.96436966905782,24.156385335780573,52.71725152347535,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),364887.4593381053,77511.18069139615
117.90371508280246,24.97918634868363,97.48121217151889,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),394039.76109322574,98460.89817885253
245.4488730508398,37.51943388413641,7.535891120876457,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),467948.81348309276,28552.545631115147
121.99018757499822,43.36028740240448,74.6578892188271,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),351667.9848397102,141956.4073213223
493.27950692087086,36.959492952900625,1.8129992287214183,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),289533.37768115714,22527.93476407945
204.46879558420426,46.93665605727625,54.473035154499435,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),361645.5181004004,225549.97058673244
21.118557543208528,40.159635048965015,71.71044066909693,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),240933.7558672344,12398.666482903089
400.26318137644625,32.128646982695344,65.05256563285421,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),80937.25216107816,364058.954467318
269.9745568122541,42.01490437909532,87.37278600669501,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),64331.67095061503,353791.91260958335
39.099075095205016,19.58338346061968,54.17679694189956,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),338684.0789062062,18677.659039060265
166.96511355694759,49.42648293730749,57.424750275150394,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),136804.64250320327,177339.90104605438
239.90240834288724,28.29423924373903,19.180629226514807,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),402523.6986249932,51161.22955948208
67.54244177402104,49.269247932732085,33.32207189778691,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),164370.13363252924,39117.179905137455
113.69666064579216,25.339640908950866,76.40337154190566,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),309196.62962079584,97492.34451582063
116.05360875455504,37.8126149826907,6.2337047004290405,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),127415.78548393646,9700.582568476495
305.4150770607338,34.36668519421589,31.232906415130195,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),62251.71505362079,122624.02054955368
498.110603232957,8.175757537890323,20.913906890479055,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),418086.8702060116,39418.46094155417
464.8864681924109,48.882452056531164,68.12519745387912,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),444391.23810759233,531732.9827197877
346.13945614337524,14.5758659759904,54.56292847139579,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),324116.0276111336,110364.12768226814
